metric,value,notes
NUM_CLIENT_DIRS,1,server* folders under eval
NUM_CLIENTS_MERGED,1,servers with CSV data
TOTAL_THROUGHPUT,7.0 Tx/sec,sum of all servers
AVG_LATENCY,141.748 ms,across all batches all servers
P50_LATENCY,3.6 ms,
P95_LATENCY,4.0 ms,
P99_LATENCY,5004.5 ms,
TOTAL_SLOW_COMMITS,384,91.0%
TOTAL_CONFLICT_COMMITS,38,
