metric,value,notes
NUM_CLIENT_DIRS,2,client* folders under eval
NUM_CLIENTS_MERGED,2,clients with CSV data
TOTAL_THROUGHPUT,414.5 Tx/sec,sum of all clients
AVG_LATENCY,4.711 ms,across all batches all clients
P50_LATENCY,4.5 ms,
P95_LATENCY,5.5 ms,
P99_LATENCY,7.0 ms,
TOTAL_SLOW_COMMITS,11723,90.9%
TOTAL_CONFLICT_COMMITS,1174,
