metric,value,notes
NUM_CLIENT_DIRS,1,server* folders under eval
NUM_CLIENTS_MERGED,1,servers with CSV data
TOTAL_THROUGHPUT,6.1 Tx/sec,sum of all servers
AVG_LATENCY,161.080 ms,across all batches all servers
P50_LATENCY,2.3 ms,
P95_LATENCY,3.6 ms,
P99_LATENCY,5004.9 ms,
TOTAL_SLOW_COMMITS,340,92.9%
TOTAL_CONFLICT_COMMITS,26,
