elapsed_ms,tps,lat_avg_ms,event
500,14200.000,5.634,
1000,14228.457,5.718,
1500,14200.000,5.732,
2000,12825.651,6.438,
2500,11800.000,7.153,
3000,12024.048,6.917,
3500,11000.000,7.891,
4000,9619.238,9.000,
4500,9200.000,9.739,
5000,9800.000,8.959,
5500,10020.040,8.740,stable
6000,9200.000,9.543,
6500,9018.036,9.822,
7000,9200.000,9.500,
7500,9218.437,9.652,
8000,9418.838,9.404,
8500,10200.000,8.490,
9000,8800.000,9.932,
9500,9819.639,9.041,
10000,9400.000,9.298,
10500,10000.000,8.740,
11000,10420.842,8.385,
11500,9800.000,8.878,
12000,10000.000,8.820,
12500,10220.441,8.529,
13000,9819.639,8.755,
13500,10400.000,8.500,
14000,10000.000,8.600,
14500,10020.040,8.780,
15000,10621.242,8.132,
15500,11222.445,7.732,
16000,10821.643,7.926,
16500,11600.000,7.328,crash_follower4
17000,10800.000,7.907,
17500,10621.242,8.226,
18000,10220.441,8.490,
18500,10621.242,8.151,
19000,10621.242,8.208,
19500,10420.842,8.365,
20000,10000.000,8.700,post_crash
20500,10000.000,8.680,
21000,10200.000,8.431,
21500,9619.238,9.271,
22000,9800.000,8.857,
22500,10200.000,8.373,
23000,10020.040,8.900,
23500,10000.000,8.600,
24000,10000.000,8.740,
24500,9819.639,8.959,
25000,9800.000,8.980,
25500,9819.639,8.796,
26000,10000.000,8.760,
26500,9418.838,9.426,
27000,9600.000,8.979,
27500,10420.842,8.404,
28000,9619.238,9.104,
28500,10200.000,8.588,
29000,9819.639,8.714,
29500,10000.000,8.800,
30000,10600.000,8.151,
30500,10621.242,8.208,
31000,10000.000,8.680,
31500,10020.040,8.740,
32000,10020.040,8.800,
32500,10000.000,8.560,
33000,9800.000,9.020,
33500,10200.000,8.373,
34000,9819.639,8.980,
34500,9819.639,8.939,
35000,10200.000,8.451,
35500,10200.000,8.490,
36000,9819.639,9.061,
36500,9418.838,9.234,
37000,10220.441,8.588,
37500,10621.242,8.170,
38000,10200.000,8.255,
38500,10821.643,8.167,
39000,10600.000,8.113,
39500,10400.000,8.192,
40000,10621.242,8.321,
40500,10000.000,8.780,
41000,10420.842,8.269,
41500,11022.044,7.909,
42000,10600.000,8.094,
42500,10821.643,7.815,
43000,10020.040,8.700,
43500,11400.000,7.649,
44000,10200.000,8.412,
44500,10621.242,8.113,
45000,11200.000,7.661,
45500,10220.441,8.451,
46000,7615.230,12.026,
46500,8800.000,9.886,
47000,9000.000,9.867,
47500,10420.842,8.365,
48000,10800.000,8.056,
48500,10800.000,7.963,
49000,10621.242,8.094,
49500,10621.242,8.208,
50000,9819.639,8.878,
50500,10200.000,8.392,
51000,10821.643,8.000,
51500,10420.842,8.269,
52000,11200.000,7.607,
52500,11823.647,7.220,
53000,10821.643,7.870,
53500,11000.000,7.891,
54000,10621.242,8.113,
54500,10420.842,8.058,
55000,11422.846,7.632,
55500,11200.000,7.589,
56000,11400.000,7.526,
56500,11400.000,7.474,
57000,11422.846,7.386,
57500,10621.242,8.132,
58000,10800.000,7.926,
58500,11222.445,7.589,
59000,11000.000,7.855,
59500,11222.445,7.607,
60000,10621.242,8.226,
60500,11022.044,7.727,
61000,11000.000,7.673,
61500,11222.445,7.643,
62000,11400.000,7.561,
62500,10600.000,8.057,
63000,10020.040,8.720,
63500,11022.044,7.764,
64000,10400.000,8.346,
64500,10821.643,7.870,
65000,11000.000,7.818,
65500,10420.842,8.250,
66000,11000.000,7.891,
66500,10220.441,8.529,
67000,10600.000,8.151,
67500,11222.445,7.518,
68000,10621.242,8.113,
68500,10821.643,7.944,
69000,10600.000,8.170,
69500,11600.000,7.431,
70000,11022.044,7.745,
70500,10800.000,7.981,
71000,10400.000,8.346,
71500,10020.040,8.800,
72000,10600.000,8.038,
72500,10621.242,8.283,
73000,11000.000,7.782,
73500,10800.000,7.981,
74000,11022.044,7.764,
74500,11200.000,7.589,
75000,11200.000,7.518,
75500,11022.044,7.818,
76000,11400.000,7.509,
76500,11000.000,7.782,
77000,10821.643,8.074,
77500,10400.000,8.385,
78000,10420.842,8.212,
78500,11200.000,7.607,
79000,11222.445,7.625,
79500,11000.000,7.982,
80000,10220.441,8.353,
80449,10913.140,7.612,
