metric,value,notes
NUM_CLIENT_DIRS,1,server* folders under eval
NUM_CLIENTS_MERGED,1,servers with CSV data
TOTAL_THROUGHPUT,4.5 Tx/sec,sum of all servers
AVG_LATENCY,218.388 ms,across all batches all servers
P50_LATENCY,3.2 ms,
P95_LATENCY,5.8 ms,
P99_LATENCY,5004.7 ms,
TOTAL_SLOW_COMMITS,245,91.8%
TOTAL_CONFLICT_COMMITS,22,
