system,size,experiment,filename,throughput,avg_latency,p50,p95,p99,conflict
raft,3,ratio_0,merged_cabinet_clients_20260806_191637.csv,597.8,4.824,4.8,6.1,7.4,19820.0
raft,3,ratio_10,merged_cabinet_clients_20260806_191531.csv,609.1,4.709,4.7,6.1,7.6,18145.0
raft,3,ratio_100,merged_cabinet_clients_20260806_190858.csv,614.9,4.704,4.6,6.0,7.3,0.0
raft,3,ratio_20,merged_cabinet_clients_20260806_191426.csv,599.0,4.809,4.7,6.1,7.4,15779.0
raft,3,ratio_40,merged_cabinet_clients_20260806_191320.csv,599.8,4.832,4.8,6.2,7.4,11888.0
raft,3,ratio_60,merged_cabinet_clients_20260806_191215.csv,612.1,4.708,4.7,6.1,7.5,8168.0
raft,3,ratio_80,merged_cabinet_clients_20260806_191109.csv,599.1,4.826,4.9,6.1,7.4,3940.0
raft,3,ratio_90,merged_cabinet_clients_20260806_191004.csv,590.0,4.901,4.8,6.1,7.4,1897.0
raft,5,ratio_0,merged_cabinet_clients_20260806_192536.csv,435.6,6.696,6.7,8.6,10.6,14418.0
raft,5,ratio_10,merged_cabinet_clients_20260806_192429.csv,450.5,6.47,6.4,8.6,10.2,13426.0
raft,5,ratio_100,merged_cabinet_clients_20260806_191745.csv,479.3,6.086,6.0,8.2,9.9,0.0
raft,5,ratio_20,merged_cabinet_clients_20260806_192322.csv,471.3,6.176,6.1,8.4,10.0,12498.0
raft,5,ratio_40,merged_cabinet_clients_20260806_192214.csv,444.9,6.553,6.5,8.6,10.2,8898.0
raft,5,ratio_60,merged_cabinet_clients_20260806_192107.csv,477.0,6.081,6.0,8.3,10.0,6223.0
raft,5,ratio_80,merged_cabinet_clients_20260806_192000.csv,430.3,6.758,6.7,8.9,10.8,2857.0
raft,5,ratio_90,merged_cabinet_clients_20260806_191852.csv,472.3,6.153,6.1,8.3,9.9,1553.0
raft,7,ratio_0,merged_cabinet_clients_20260806_193452.csv,437.6,6.671,6.6,9.1,11.4,14516.0
raft,7,ratio_10,merged_cabinet_clients_20260806_193343.csv,378.3,7.737,7.7,10.3,12.2,11309.0
raft,7,ratio_100,merged_cabinet_clients_20260806_192646.csv,436.4,6.659,6.6,8.9,11.4,0.0
raft,7,ratio_20,merged_cabinet_clients_20260806_193233.csv,390.6,7.47,7.3,10.2,12.1,10310.0
raft,7,ratio_40,merged_cabinet_clients_20260806_193124.csv,402.0,7.249,7.1,10.0,11.8,7851.0
raft,7,ratio_60,merged_cabinet_clients_20260806_193014.csv,390.6,7.473,7.4,10.2,11.9,5209.0
raft,7,ratio_80,merged_cabinet_clients_20260806_192905.csv,382.6,7.631,7.5,10.4,12.1,2508.0
raft,7,ratio_90,merged_cabinet_clients_20260806_192756.csv,401.0,7.267,7.2,10.2,12.2,1328.0
raft,11,ratio_0,merged_cabinet_clients_20260806_194442.csv,355.1,8.243,8.0,11.8,13.2,11823.0
raft,11,ratio_10,merged_cabinet_clients_20260806_194329.csv,338.3,8.67,8.1,12.0,13.3,10102.0
raft,11,ratio_100,merged_cabinet_clients_20260806_193609.csv,336.8,8.706,8.5,12.4,13.7,0.0
raft,11,ratio_20,merged_cabinet_clients_20260806_194216.csv,353.5,8.274,8.0,12.0,13.5,9362.0
raft,11,ratio_40,merged_cabinet_clients_20260806_194104.csv,348.5,8.389,8.2,11.8,13.3,6931.0
raft,11,ratio_60,merged_cabinet_clients_20260806_193951.csv,342.2,8.547,8.3,12.3,13.8,4564.0
raft,11,ratio_80,merged_cabinet_clients_20260806_193835.csv,347.7,8.433,8.2,12.2,13.6,2286.0
raft,11,ratio_90,merged_cabinet_clients_20260806_193722.csv,335.0,8.736,8.5,12.5,13.9,1150.0
