metric,value,notes
NUM_CLIENT_DIRS,1,server* folders under eval
NUM_CLIENTS_MERGED,1,servers with CSV data
TOTAL_THROUGHPUT,65821.8 Tx/sec,sum of all servers
AVG_LATENCY,1.453 ms,across all batches all servers
P50_LATENCY,1.4 ms,
P95_LATENCY,2.3 ms,
P99_LATENCY,3.9 ms,
TOTAL_SLOW_COMMITS,4825800,90.0%
TOTAL_CONFLICT_COMMITS,535800,
