elapsed_ms,tps,lat_avg_ms,event
500,17000.000,4.612,
1000,16000.000,5.000,
1500,16400.000,4.939,
2000,15631.263,5.295,
2500,15230.461,5.434,
3000,13200.000,6.333,
3500,13226.453,6.545,
4000,14200.000,5.972,
4500,15600.000,5.218,stable
5000,15230.461,5.421,
5500,15200.000,5.342,
6000,15200.000,5.421,
6500,14800.000,5.595,
7000,14829.659,5.595,
7500,15030.060,5.533,
8000,15600.000,5.205,
8500,15000.000,5.520,
9000,14228.457,5.817,
9500,13800.000,6.159,
10000,14600.000,5.781,
10500,15030.060,5.427,
11000,15631.263,5.167,
11500,14600.000,5.753,
12000,14629.259,5.452,
12500,16400.000,4.902,
13000,18036.072,4.433,
13500,16000.000,5.013,
14000,15430.862,5.325,
14500,15800.000,5.241,
15000,15631.263,5.231,crash_follower3
15500,14028.056,5.929,
16000,15600.000,5.256,
16500,14629.259,5.740,
17000,14428.858,5.778,
17500,14200.000,5.831,
18000,14800.000,5.527,
18500,14829.659,5.595,
19000,15230.461,5.421,
19500,14400.000,5.750,post_crash
20000,15831.663,5.177,
20500,15800.000,5.139,
21000,14428.858,5.833,
21500,14629.259,5.589,
22000,15400.000,5.312,
22500,15230.461,5.368,
23000,15600.000,5.256,
23500,14600.000,5.685,
24000,16032.064,5.112,
24500,14800.000,5.486,
25000,14228.457,5.958,
25500,14028.056,5.943,
26000,14028.056,5.871,
26500,14028.056,6.000,
27000,14600.000,5.740,
27500,16633.267,4.759,
28000,14400.000,5.778,
28500,14400.000,5.722,
29000,14600.000,5.699,
29500,15230.461,5.461,
30000,15200.000,5.395,
30500,15230.461,5.434,
31000,15631.263,5.269,
31500,14829.659,5.486,
32000,15800.000,5.228,
32500,16200.000,5.000,
33000,16633.267,4.819,
33500,14200.000,5.761,
34000,14629.259,5.685,
34500,14829.659,5.622,
35000,14000.000,6.000,
35500,15831.663,5.139,
36000,15000.000,5.427,
36500,14428.858,5.750,
37000,14829.659,5.486,
37500,14200.000,5.901,
38000,14600.000,5.644,
38500,14028.056,5.886,
39000,14400.000,5.708,
39500,14629.259,5.685,
40000,14600.000,5.726,
40500,14829.659,5.608,
41000,14228.457,5.873,
41500,14800.000,5.568,
42000,14600.000,5.644,
42500,12825.651,6.391,
43000,13000.000,6.523,
43500,13226.453,6.424,
44000,14028.056,5.943,
44500,14600.000,5.562,
45000,15030.060,5.573,
45500,14400.000,5.736,
46000,14028.056,5.943,
46500,13600.000,6.191,
47000,13200.000,6.455,
47500,14228.457,5.901,
48000,13426.854,6.299,
48500,13600.000,6.103,
49000,13827.655,6.116,
49500,13400.000,6.254,
50000,13627.255,6.118,
50500,14428.858,5.778,
51000,14200.000,5.887,
51500,13627.255,6.147,
52000,14200.000,5.845,
52500,14629.259,5.753,
53000,13800.000,6.043,
53500,14000.000,5.914,
54000,15230.461,5.434,
54500,13800.000,5.971,
55000,12600.000,6.635,
55500,14228.457,5.873,
56000,15400.000,5.364,
56500,14629.259,5.658,
57000,15230.461,5.368,
57500,15800.000,5.215,
58000,15430.862,5.338,
58500,14400.000,5.639,
59000,14629.259,5.726,
59500,14600.000,5.630,
60000,14829.659,5.662,
60500,14800.000,5.568,
61000,13200.000,6.348,
61500,13827.655,6.043,
62000,14200.000,5.901,
62500,14400.000,5.778,
63000,14428.858,5.736,
63500,15200.000,5.421,
64000,14829.659,5.595,
64500,13426.854,6.313,
65000,14400.000,5.750,
65500,15230.461,5.434,
66000,14600.000,5.630,
66500,14629.259,5.712,
67000,13827.655,6.174,
67500,12625.251,6.794,
68000,13827.655,6.145,
68500,14800.000,5.541,
69000,13400.000,6.313,
69500,13026.052,6.385,
70000,13426.854,6.373,
70500,14000.000,6.000,
71000,13426.854,6.284,
71500,13400.000,6.299,
72000,13426.854,6.224,
72500,15230.461,5.408,
73000,17000.000,4.671,
73500,13627.255,6.176,
74000,13000.000,6.508,
74500,14629.259,5.685,
75000,14000.000,5.914,
75500,13627.255,6.103,
76000,13000.000,6.600,
76500,12825.651,6.625,
77000,14000.000,5.857,
77500,15030.060,5.440,
78000,15400.000,5.338,
78500,13627.255,6.221,
79000,13426.854,6.194,
79500,14600.000,5.767,
80000,14000.000,5.700,
80016,0.000,0.000,
