metric,value,notes
NUM_CLIENT_DIRS,3,client* folders under eval
NUM_CLIENTS_MERGED,3,clients with CSV data
TOTAL_THROUGHPUT,96.0 Tx/sec,sum of all clients
AVG_LATENCY,155.760 ms,across all batches all clients
P50_LATENCY,38.1 ms,
P95_LATENCY,345.5 ms,
P99_LATENCY,352.3 ms,
TOTAL_SLOW_COMMITS,3900,100.0%
TOTAL_CONFLICT_COMMITS,0,
