metric,value,notes
NUM_CLIENT_DIRS,1,server* folders under eval
NUM_CLIENTS_MERGED,1,servers with CSV data
TOTAL_THROUGHPUT,92.7 Tx/sec,sum of all servers
AVG_LATENCY,10.633 ms,across all batches all servers
P50_LATENCY,2.5 ms,
P95_LATENCY,24.7 ms,
P99_LATENCY,26.7 ms,
TOTAL_SLOW_COMMITS,3900,100.0%
TOTAL_CONFLICT_COMMITS,0,
