metric,value,notes
NUM_CLIENT_DIRS,1,server* folders under eval
NUM_CLIENTS_MERGED,1,servers with CSV data
TOTAL_THROUGHPUT,670.0 Tx/sec,sum of all servers
AVG_LATENCY,1.379 ms,across all batches all servers
P50_LATENCY,1.4 ms,
P95_LATENCY,1.9 ms,
P99_LATENCY,2.2 ms,
TOTAL_SLOW_COMMITS,23306,90.8%
TOTAL_CONFLICT_COMMITS,2365,
