metric,value,notes
NUM_CLIENT_DIRS,2,client* folders under eval
NUM_CLIENTS_MERGED,2,clients with CSV data
TOTAL_THROUGHPUT,9.8 Tx/sec,sum of all clients
AVG_LATENCY,186.863 ms,across all batches all clients
P50_LATENCY,4.7 ms,
P95_LATENCY,5.7 ms,
P99_LATENCY,10009.2 ms,
TOTAL_SLOW_COMMITS,376,93.1%
TOTAL_CONFLICT_COMMITS,28,
