metric,value,notes
NUM_CLIENT_DIRS,1,server* folders under eval
NUM_CLIENTS_MERGED,1,servers with CSV data
TOTAL_THROUGHPUT,9.8 Tx/sec,sum of all servers
AVG_LATENCY,99.305 ms,across all batches all servers
P50_LATENCY,2.1 ms,
P95_LATENCY,3.1 ms,
P99_LATENCY,5004.8 ms,
TOTAL_SLOW_COMMITS,376,93.1%
TOTAL_CONFLICT_COMMITS,28,
