metric,value,notes
NUM_CLIENT_DIRS,3,client* folders under eval
NUM_CLIENTS_MERGED,3,clients with CSV data
TOTAL_THROUGHPUT,147.1 Tx/sec,sum of all clients
AVG_LATENCY,101.966 ms,across all batches all clients
P50_LATENCY,21.7 ms,
P95_LATENCY,332.8 ms,
P99_LATENCY,343.4 ms,
TOTAL_SLOW_COMMITS,5939,100.0%
TOTAL_CONFLICT_COMMITS,0,
