elapsed_ms,tps,lat_avg_ms,event
500,682.000,6.525,
1000,678.000,6.687,
1500,462.926,10.091,
2000,352.000,13.449,
2500,370.741,12.751,
3000,258.000,18.783,
3500,218.437,22.138,
4000,196.393,24.347,calm_start
4500,216.000,22.796,calm_c0
5000,184.369,25.859,
5500,210.421,23.381,
6000,236.000,20.805,
6500,276.000,17.543,
7000,262.000,18.237,
7500,246.493,19.585,
8000,230.461,21.183,
8500,204.409,23.696,
9000,226.000,21.743,
9500,238.477,20.286,
10000,220.441,22.091,
10500,196.000,24.663,
11000,186.000,26.043,
11500,190.381,25.716,
12000,194.000,25.474,
12500,220.441,22.109,
13000,218.000,22.073,
13500,206.413,23.583,
14000,180.000,27.044,
14500,212.425,23.274,
15000,210.000,23.048,
15500,192.000,24.896,
16000,190.381,26.137,
16500,158.000,30.810,
17000,176.353,28.011,
17500,184.000,26.380,
18000,210.421,23.571,
18500,204.000,23.892,
19000,190.381,25.516,
19500,202.405,24.366,
20000,258.000,18.519,
20500,222.000,22.216,burst_c0
21000,108.216,42.500,
21500,20.040,227.900,
22000,28.000,178.429,
22500,26.052,178.231,
23000,30.060,177.267,
23500,28.056,177.071,
24000,28.000,176.714,
24500,30.000,177.333,
25000,24.048,177.083,
25500,30.000,175.067,
26000,30.060,174.467,
26500,28.056,174.714,
27000,28.056,178.071,
27500,28.000,178.929,
28000,26.000,177.308,
28500,30.060,177.600,
29000,28.000,176.714,
29500,28.056,176.714,
30000,30.000,173.933,
30500,26.052,174.769,
31000,28.000,173.857,
31500,30.060,175.067,calm_c1
32000,28.000,176.929,
32500,102.204,55.824,
33000,180.000,27.189,
33500,208.000,23.760,
34000,220.441,21.982,
34500,220.000,22.164,
35000,222.445,21.604,
35500,280.561,17.414,
36000,250.501,19.272,
36500,242.000,19.901,
37000,246.493,19.366,
37500,208.000,23.308,
38000,238.477,20.521,
38500,256.000,18.930,
39000,280.000,17.457,
39500,242.485,20.124,
40000,192.385,25.521,
40500,240.481,19.492,
41000,214.000,22.879,
41500,196.000,25.000,
42000,178.357,27.584,
42500,210.421,23.086,
43000,200.000,24.540,
43500,182.365,26.374,
44000,210.000,23.676,
44500,190.000,25.758,
45000,174.000,27.506,
45500,186.373,26.699,
46000,212.425,22.774,
46500,220.441,22.309,
47000,208.000,23.038,
47500,218.437,22.734,burst_c1
48000,110.000,37.164,
48500,30.060,174.600,
49000,28.000,176.214,
49500,26.000,177.385,
50000,28.056,175.071,
50500,30.000,174.667,
51000,28.056,175.357,
51500,30.060,174.333,
52000,28.000,176.500,
52500,26.000,176.615,
53000,28.000,179.786,
53500,30.060,175.333,
54000,28.000,174.857,
54500,30.000,176.067,
55000,28.056,176.286,
55500,26.000,176.000,
56000,28.056,175.929,
56500,30.060,176.200,
57000,28.000,174.929,
57500,30.060,175.133,
58000,28.056,175.429,
58500,26.000,175.692,post_burst
59000,8.016,379.500,
59500,232.000,33.612,
60000,244.489,19.926,
60138,260.870,15.222,
