metric,value,notes
NUM_CLIENT_DIRS,2,client* folders under eval
NUM_CLIENTS_MERGED,2,clients with CSV data
TOTAL_THROUGHPUT,10.1 Tx/sec,sum of all clients
AVG_LATENCY,183.155 ms,across all batches all clients
P50_LATENCY,4.1 ms,
P95_LATENCY,4.7 ms,
P99_LATENCY,10009.0 ms,
TOTAL_SLOW_COMMITS,373,90.8%
TOTAL_CONFLICT_COMMITS,38,
