metric,value,notes
NUM_CLIENT_DIRS,1,server* folders under eval
NUM_CLIENTS_MERGED,1,servers with CSV data
TOTAL_THROUGHPUT,10.0 Tx/sec,sum of all servers
AVG_LATENCY,97.077 ms,across all batches all servers
P50_LATENCY,1.6 ms,
P95_LATENCY,2.0 ms,
P99_LATENCY,5004.4 ms,
TOTAL_SLOW_COMMITS,373,90.8%
TOTAL_CONFLICT_COMMITS,38,
