metric,value,notes
NUM_CLIENT_DIRS,2,client* folders under eval
NUM_CLIENTS_MERGED,2,clients with CSV data
TOTAL_THROUGHPUT,437.4 Tx/sec,sum of all clients
AVG_LATENCY,4.449 ms,across all batches all clients
P50_LATENCY,4.4 ms,
P95_LATENCY,5.3 ms,
P99_LATENCY,6.7 ms,
TOTAL_SLOW_COMMITS,12456,90.4%
TOTAL_CONFLICT_COMMITS,1320,
