metric,value,notes
NUM_CLIENT_DIRS,10,client* folders under eval
NUM_CLIENTS_MERGED,10,clients with CSV data
TOTAL_THROUGHPUT,1902.5 Tx/sec,sum of all clients
AVG_LATENCY,5.105 ms,across all batches all clients
P50_LATENCY,5.2 ms,
P95_LATENCY,7.2 ms,
P99_LATENCY,9.6 ms,
TOTAL_SLOW_COMMITS,0,0.0%
TOTAL_CONFLICT_COMMITS,0,
