elapsed_ms,tps,lat_avg_ms,event
500,9000.000,10.067,
1000,9600.000,9.396,
1500,10200.000,8.686,stable
2000,10200.000,8.804,
2500,9218.437,9.739,
3000,10020.040,9.220,
3500,9400.000,9.447,
4000,9418.838,9.660,
4500,10200.000,8.863,
5000,9800.000,9.163,
5500,9418.838,9.830,
6000,9800.000,9.163,
6500,10200.000,8.784,
7000,10420.842,8.481,
7500,10800.000,8.333,
8000,10200.000,8.706,
8500,10621.242,8.528,
9000,10200.000,8.667,
9500,10821.643,8.296,
10000,10621.242,8.472,
10500,10400.000,8.731,
11000,10600.000,8.377,
11500,11000.000,8.127,
12000,11222.445,7.929,
12500,11623.246,7.724,crash_follower4
13000,11200.000,7.661,
13500,11022.044,8.182,
14000,10821.643,8.333,
14500,10400.000,8.558,
15000,11022.044,8.182,
15500,10800.000,8.204,
16000,10420.842,8.615,post_crash
16500,10420.842,8.596,
17000,10621.242,8.377,
17500,9600.000,9.188,
18000,10220.441,9.059,
18500,10200.000,8.824,
19000,10420.842,8.635,
19500,10000.000,8.980,
20000,10400.000,8.635,
20500,9819.639,9.245,
21000,10220.441,8.725,
21500,10200.000,8.902,
22000,10000.000,8.860,
22500,10020.040,9.080,
23000,10000.000,9.040,
23500,9819.639,9.061,
24000,10400.000,8.808,
24500,10000.000,8.820,
25000,10220.441,8.765,
25500,10000.000,8.780,
26000,10420.842,8.692,
26500,10800.000,8.278,
27000,10600.000,8.340,
27500,10220.441,8.980,
28000,10220.441,8.686,
28500,9800.000,9.102,
29000,10621.242,8.547,
29500,10000.000,8.760,
30000,10420.842,8.788,
30500,10200.000,8.627,
31000,10000.000,9.200,
31500,10600.000,8.302,
32000,10420.842,8.750,
32500,9800.000,9.122,
33000,9819.639,9.265,
33500,10400.000,8.481,
34000,10821.643,8.241,
34500,10821.643,8.315,
35000,11000.000,7.964,
35500,11000.000,8.182,
36000,10621.242,8.321,
36500,10600.000,8.434,
37000,10600.000,8.264,
37500,11022.044,8.236,
38000,11022.044,8.109,
38500,11022.044,8.073,
39000,10800.000,8.352,
39500,10420.842,8.654,
40000,6200.000,15.065,
40500,10400.000,8.577,
41000,11200.000,8.018,
41500,12825.651,6.703,
42000,8600.000,10.581,
42500,8000.000,11.500,
43000,9200.000,9.935,
43500,9000.000,10.133,
44000,11222.445,7.946,
44500,11222.445,7.857,
45000,11600.000,7.586,
45500,10800.000,8.278,
46000,10220.441,8.745,
46500,10621.242,8.566,
47000,10600.000,8.396,
47500,11022.044,8.127,
48000,11400.000,7.807,
48500,12000.000,7.383,
49000,12200.000,7.213,
49500,11623.246,7.759,
50000,11000.000,7.982,
50500,10621.242,8.642,
51000,11200.000,7.786,
51500,12200.000,7.344,
52000,11623.246,7.707,
52500,11800.000,7.492,
53000,12000.000,7.433,
53500,11222.445,7.929,
54000,10821.643,8.222,
54500,11800.000,7.492,
55000,11823.647,7.576,
55500,11222.445,7.964,
56000,11400.000,7.825,
56500,11400.000,7.877,
57000,11222.445,7.929,
57500,11800.000,7.407,
58000,11400.000,7.579,
58500,11222.445,8.125,
59000,10400.000,8.558,
59500,10420.842,8.538,
60000,11200.000,8.054,
60500,11222.445,7.821,
61000,11600.000,7.638,
61500,11200.000,7.929,
62000,10621.242,8.264,
62500,10600.000,8.302,
63000,10420.842,8.481,
63500,11823.647,7.593,
64000,11200.000,7.786,
64500,11022.044,8.000,
65000,10621.242,8.434,
65500,11400.000,7.860,
66000,11823.647,7.424,
66500,11200.000,7.786,
67000,11222.445,8.161,
67500,10400.000,8.615,
68000,10420.842,8.481,
68500,11022.044,8.345,
69000,11000.000,8.036,
69500,11022.044,8.218,
70000,11400.000,7.789,
70500,11623.246,7.500,
71000,11800.000,7.407,
71500,11623.246,7.776,
72000,12000.000,7.250,
72500,11200.000,7.911,
73000,11400.000,7.912,
73500,11022.044,8.000,
74000,10800.000,8.333,
74500,11200.000,7.982,
75000,11823.647,7.390,
75500,11623.246,7.724,
76000,10800.000,8.074,
76500,11022.044,8.327,
76889,14138.817,5.745,
