metric,value,notes
NUM_CLIENT_DIRS,3,client* folders under eval
NUM_CLIENTS_MERGED,3,clients with CSV data
TOTAL_THROUGHPUT,1017.5 Tx/sec,sum of all clients
AVG_LATENCY,2.830 ms,across all batches all clients
P50_LATENCY,2.8 ms,
P95_LATENCY,4.2 ms,
P99_LATENCY,5.0 ms,
TOTAL_SLOW_COMMITS,33510,100.0%
TOTAL_CONFLICT_COMMITS,0,
