metric,value,notes
NUM_CLIENT_DIRS,1,server* folders under eval
NUM_CLIENTS_MERGED,1,servers with CSV data
TOTAL_THROUGHPUT,521.0 Tx/sec,sum of all servers
AVG_LATENCY,1.817 ms,across all batches all servers
P50_LATENCY,1.8 ms,
P95_LATENCY,2.3 ms,
P99_LATENCY,2.7 ms,
TOTAL_SLOW_COMMITS,18155,90.5%
TOTAL_CONFLICT_COMMITS,1904,
