elapsed_ms,tps,lat_avg_ms,event
500,10800.000,7.815,
1000,11200.000,7.429,
1500,10600.000,8.226,
2000,9418.838,9.468,
2500,8817.635,9.955,
3000,9400.000,9.298,stable
3500,9819.639,9.020,
4000,9600.000,9.083,
4500,9018.036,9.756,
5000,9200.000,9.652,
5500,9018.036,9.822,
6000,9400.000,9.383,
6500,8817.635,10.091,
7000,9418.838,9.447,
7500,9600.000,9.146,
8000,10000.000,8.880,
8500,9418.838,9.064,
9000,9218.437,9.739,
9500,9619.238,8.979,
10000,10020.040,8.780,
10500,10000.000,8.820,
11000,9619.238,9.062,
11500,9600.000,9.125,
12000,10420.842,8.327,
12500,9400.000,9.213,
13000,10020.040,8.700,
13500,10020.040,8.780,crash_follower2
14000,9600.000,8.875,
14500,10200.000,8.588,
15000,9600.000,9.021,
15500,9619.238,9.000,
16000,9400.000,9.426,
16500,9819.639,8.837,
17000,10200.000,8.529,
17500,9619.238,9.000,
18000,9819.639,9.041,post_crash
18500,9819.639,9.000,
19000,9800.000,9.041,
19500,10420.842,8.288,
20000,10200.000,8.588,
20500,10821.643,7.944,
21000,10220.441,8.529,
21500,9800.000,8.714,
22000,10420.842,8.519,
22500,10020.040,8.680,
23000,9819.639,8.878,
23500,10200.000,8.588,
24000,9418.838,9.234,
24500,9800.000,8.878,
25000,9819.639,8.898,
25500,10200.000,8.529,
26000,10800.000,7.981,
26500,10420.842,8.231,
27000,10200.000,8.569,
27500,10020.040,8.700,
28000,10200.000,8.412,
28500,10020.040,8.720,
29000,9800.000,8.878,
29500,9819.639,8.837,
30000,10220.441,8.471,
30500,10000.000,8.780,
31000,9400.000,9.213,
31500,10000.000,8.740,
32000,10220.441,8.451,
32500,10621.242,8.170,
33000,10000.000,8.640,
33500,10200.000,8.549,
34000,10020.040,8.820,
34500,10000.000,8.780,
35000,10200.000,8.647,
35500,10420.842,8.308,
36000,10020.040,8.580,
36500,9600.000,9.188,
37000,9800.000,8.816,
37500,10220.441,8.608,
38000,10200.000,8.490,
38500,10200.000,8.235,
39000,11022.044,7.945,
39500,10621.242,8.151,
40000,11022.044,7.800,
40500,10000.000,8.800,
41000,10000.000,8.580,
41500,11022.044,7.782,
42000,10600.000,8.094,
42500,10420.842,8.385,
43000,10420.842,8.288,
43500,10000.000,8.720,
44000,10020.040,8.740,
44500,10220.441,8.471,
45000,10020.040,8.660,
45500,9600.000,9.167,
46000,10000.000,8.600,
46500,10020.040,8.860,
47000,9819.639,8.714,
47500,9800.000,9.122,
48000,10400.000,8.250,
48500,9600.000,9.167,
49000,9619.238,9.000,
49500,10000.000,8.680,
50000,9800.000,8.918,
50500,9600.000,8.979,
51000,10420.842,8.404,
51500,9800.000,9.020,
52000,10000.000,8.520,
52500,10220.441,8.627,
53000,10020.040,8.660,
53500,10400.000,8.250,
54000,10600.000,8.208,
54500,10600.000,8.226,
55000,10020.040,8.720,
55500,9800.000,8.980,
56000,10020.040,8.760,
56500,10420.842,8.327,
57000,10200.000,8.451,
57500,11623.246,7.414,
58000,11200.000,7.536,
58500,10000.000,8.640,
59000,10821.643,7.963,
59500,10600.000,8.132,
60000,10420.842,8.250,
60500,10621.242,8.226,
61000,10220.441,8.667,
61500,10200.000,8.392,
62000,10600.000,8.170,
62500,10621.242,8.075,
63000,10220.441,8.471,
63500,11000.000,7.891,
64000,10400.000,8.423,
64500,10220.441,8.314,
65000,10800.000,7.815,
65500,10400.000,8.327,
66000,10220.441,8.667,
66500,10000.000,8.740,
67000,10420.842,8.308,
67500,10220.441,8.471,
68000,10200.000,8.471,
68500,10000.000,8.840,
69000,9819.639,8.755,
69500,10200.000,8.588,
70000,10020.040,8.640,
70500,10400.000,8.404,
71000,10800.000,7.926,
71500,10220.441,8.588,
72000,9819.639,8.980,
72500,10200.000,8.588,
73000,11000.000,7.727,
73500,10220.441,8.392,
74000,10420.842,8.327,
74500,10420.842,8.346,
75000,10200.000,8.569,
75500,10621.242,8.226,
76000,9600.000,9.021,
76500,10220.441,8.569,
77000,9800.000,8.673,
77500,10200.000,8.549,
78000,10420.842,8.462,
78500,10000.000,8.700,
78645,11034.483,6.250,
