metric,value,notes
NUM_CLIENT_DIRS,1,server* folders under eval
NUM_CLIENTS_MERGED,1,servers with CSV data
TOTAL_THROUGHPUT,434.0 Tx/sec,sum of all servers
AVG_LATENCY,2.151 ms,across all batches all servers
P50_LATENCY,1.4 ms,
P95_LATENCY,11.5 ms,
P99_LATENCY,11.9 ms,
TOTAL_SLOW_COMMITS,26305,100.0%
TOTAL_CONFLICT_COMMITS,0,
