metric,value,notes
NUM_CLIENT_DIRS,3,client* folders under eval
NUM_CLIENTS_MERGED,3,clients with CSV data
TOTAL_THROUGHPUT,445.7 Tx/sec,sum of all clients
AVG_LATENCY,33.473 ms,across all batches all clients
P50_LATENCY,23.0 ms,
P95_LATENCY,175.5 ms,
P99_LATENCY,178.9 ms,
TOTAL_SLOW_COMMITS,26305,100.0%
TOTAL_CONFLICT_COMMITS,0,
