metric,value,notes
NUM_CLIENT_DIRS,10,client* folders under eval
NUM_CLIENTS_MERGED,10,clients with CSV data
TOTAL_THROUGHPUT,483.8 Tx/sec,sum of all clients
AVG_LATENCY,20.248 ms,across all batches all clients
P50_LATENCY,21.3 ms,
P95_LATENCY,27.4 ms,
P99_LATENCY,29.8 ms,
TOTAL_SLOW_COMMITS,0,0.0%
TOTAL_CONFLICT_COMMITS,0,
