metric,value,notes
NUM_CLIENT_DIRS,2,client* folders under eval
NUM_CLIENTS_MERGED,2,clients with CSV data
TOTAL_THROUGHPUT,493.8 Tx/sec,sum of all clients
AVG_LATENCY,3.908 ms,across all batches all clients
P50_LATENCY,3.9 ms,
P95_LATENCY,4.7 ms,
P99_LATENCY,5.6 ms,
TOTAL_SLOW_COMMITS,14113,90.8%
TOTAL_CONFLICT_COMMITS,1437,
