metric,value,notes
NUM_CLIENT_DIRS,3,client* folders under eval
NUM_CLIENTS_MERGED,3,clients with CSV data
TOTAL_THROUGHPUT,187955.0 Tx/sec,sum of all clients
AVG_LATENCY,5.707 ms,across all batches all clients
P50_LATENCY,5.5 ms,
P95_LATENCY,8.1 ms,
P99_LATENCY,10.8 ms,
TOTAL_SLOW_COMMITS,5519000,89.8%
TOTAL_CONFLICT_COMMITS,625500,
