metric,value,notes
NUM_CLIENT_DIRS,3,client* folders under eval
NUM_CLIENTS_MERGED,3,clients with CSV data
TOTAL_THROUGHPUT,431.3 Tx/sec,sum of all clients
AVG_LATENCY,6.733 ms,across all batches all clients
P50_LATENCY,6.7 ms,
P95_LATENCY,9.0 ms,
P99_LATENCY,11.0 ms,
TOTAL_SLOW_COMMITS,12931,90.4%
TOTAL_CONFLICT_COMMITS,1381,
