metric,value,notes
NUM_CLIENT_DIRS,2,client* folders under eval
NUM_CLIENTS_MERGED,2,clients with CSV data
TOTAL_THROUGHPUT,7.2 Tx/sec,sum of all clients
AVG_LATENCY,255.439 ms,across all batches all clients
P50_LATENCY,6.2 ms,
P95_LATENCY,8.0 ms,
P99_LATENCY,10009.4 ms,
TOTAL_SLOW_COMMITS,270,92.2%
TOTAL_CONFLICT_COMMITS,23,
