metric,value,notes
NUM_CLIENT_DIRS,1,server* folders under eval
NUM_CLIENTS_MERGED,1,servers with CSV data
TOTAL_THROUGHPUT,731.1 Tx/sec,sum of all servers
AVG_LATENCY,1.293 ms,across all batches all servers
P50_LATENCY,1.3 ms,
P95_LATENCY,1.7 ms,
P99_LATENCY,1.9 ms,
TOTAL_SLOW_COMMITS,30297,91.3%
TOTAL_CONFLICT_COMMITS,2869,
