metric,value,notes
NUM_CLIENT_DIRS,2,client* folders under eval
NUM_CLIENTS_MERGED,2,clients with CSV data
TOTAL_THROUGHPUT,482.7 Tx/sec,sum of all clients
AVG_LATENCY,4.002 ms,across all batches all clients
P50_LATENCY,4.0 ms,
P95_LATENCY,4.8 ms,
P99_LATENCY,5.8 ms,
TOTAL_SLOW_COMMITS,13669,90.9%
TOTAL_CONFLICT_COMMITS,1376,
