system,size,experiment,filename,throughput,avg_latency,p50,p95,p99,conflict
raft,3,ratio_0,merged_cabinet_servers_20260806_005643.csv,560.2,1.66,1.7,2.2,2.5,19238.0
raft,3,ratio_10,merged_cabinet_servers_20260806_005537.csv,589.5,1.575,1.6,2.1,2.4,18309.0
raft,3,ratio_100,merged_cabinet_servers_20260806_004902.csv,570.5,1.635,1.6,2.2,2.5,0.0
raft,3,ratio_20,merged_cabinet_servers_20260806_005431.csv,583.8,1.6,1.6,2.1,2.4,16121.0
raft,3,ratio_40,merged_cabinet_servers_20260806_005326.csv,583.3,1.563,1.6,2.1,2.5,12019.0
raft,3,ratio_60,merged_cabinet_servers_20260806_005220.csv,569.6,1.642,1.6,2.2,2.5,7937.0
raft,3,ratio_80,merged_cabinet_servers_20260806_005114.csv,588.3,1.571,1.6,2.1,2.5,4077.0
raft,3,ratio_90,merged_cabinet_servers_20260806_005008.csv,643.4,1.41,1.4,2.0,2.4,2247.0
raft,5,ratio_0,merged_cabinet_servers_20260806_010547.csv,442.9,2.162,2.1,3.0,3.8,15300.0
raft,5,ratio_10,merged_cabinet_servers_20260806_010440.csv,435.0,2.213,2.2,3.0,4.0,13620.0
raft,5,ratio_100,merged_cabinet_servers_20260806_005751.csv,412.3,2.319,2.2,3.1,4.2,0.0
raft,5,ratio_20,merged_cabinet_servers_20260806_010332.csv,431.0,2.216,2.1,3.1,4.0,12047.0
raft,5,ratio_40,merged_cabinet_servers_20260806_010224.csv,460.2,2.078,2.0,2.9,3.6,9625.0
raft,5,ratio_60,merged_cabinet_servers_20260806_010116.csv,433.5,2.212,2.2,3.0,4.1,6013.0
raft,5,ratio_80,merged_cabinet_servers_20260806_010007.csv,479.1,1.977,1.9,2.7,3.6,3330.0
raft,5,ratio_90,merged_cabinet_servers_20260806_005859.csv,464.1,2.054,2.0,2.8,3.9,1608.0
raft,7,ratio_0,merged_cabinet_servers_20260806_011505.csv,370.9,2.595,2.5,3.4,5.4,12854.0
raft,7,ratio_10,merged_cabinet_servers_20260806_011355.csv,372.9,2.578,2.5,3.4,5.3,11642.0
raft,7,ratio_100,merged_cabinet_servers_20260806_010658.csv,396.1,2.427,2.3,3.2,5.2,0.0
raft,7,ratio_20,merged_cabinet_servers_20260806_011246.csv,392.7,2.454,2.4,3.3,5.2,10870.0
raft,7,ratio_40,merged_cabinet_servers_20260806_011137.csv,394.0,2.434,2.4,3.2,5.3,8163.0
raft,7,ratio_60,merged_cabinet_servers_20260806_011027.csv,376.8,2.56,2.5,3.4,5.2,5130.0
raft,7,ratio_80,merged_cabinet_servers_20260806_010918.csv,390.1,2.467,2.4,3.3,5.1,2769.0
raft,7,ratio_90,merged_cabinet_servers_20260806_010808.csv,416.1,2.317,2.2,3.1,4.9,1457.0
raft,11,ratio_0,merged_cabinet_servers_20260806_012447.csv,333.4,2.89,2.7,4.7,6.4,11517.0
raft,11,ratio_10,merged_cabinet_servers_20260806_012335.csv,354.4,2.719,2.6,4.4,6.1,11041.0
raft,11,ratio_100,merged_cabinet_servers_20260806_011618.csv,336.8,2.841,2.7,4.8,6.4,0.0
raft,11,ratio_20,merged_cabinet_servers_20260806_012221.csv,336.8,2.839,2.7,4.7,6.4,9404.0
raft,11,ratio_40,merged_cabinet_servers_20260806_012109.csv,348.5,2.76,2.6,4.8,6.5,7316.0
raft,11,ratio_60,merged_cabinet_servers_20260806_011956.csv,350.7,2.731,2.6,4.6,6.4,4881.0
raft,11,ratio_80,merged_cabinet_servers_20260806_011844.csv,339.6,2.829,2.7,4.8,6.6,2327.0
raft,11,ratio_90,merged_cabinet_servers_20260806_011731.csv,348.9,2.748,2.6,4.7,6.4,1237.0
