system,size,experiment,filename,throughput,avg_latency,p50,p95,p99,conflict
cabinet,11,batch_1,merged_cabinet_clients_20260806_215800.csv,1021.9,2.82,2.8,4.1,4.9,3355.0
cabinet,11,batch_10,merged_cabinet_clients_20260806_215913.csv,9096.4,3.137,3.0,4.7,5.8,29280.0
cabinet,11,batch_100,merged_cabinet_clients_20260806_220139.csv,73470.6,3.53,3.4,4.8,6.3,243300.0
cabinet,11,batch_1000,merged_cabinet_clients_20260806_220406.csv,229187.2,8.468,8.0,12.2,14.8,777000.0
cabinet,11,batch_2000,merged_cabinet_clients_20260806_220519.csv,257401.6,14.833,14.1,20.7,23.4,802000.0
cabinet,11,batch_50,merged_cabinet_clients_20260806_220026.csv,40893.6,3.319,3.2,4.5,5.8,133050.0
cabinet,11,batch_500,merged_cabinet_clients_20260806_220252.csv,187955.0,5.707,5.5,8.1,10.8,625500.0
