metric,value,notes
NUM_CLIENT_DIRS,1,server* folders under eval
NUM_CLIENTS_MERGED,1,servers with CSV data
TOTAL_THROUGHPUT,8737.8 Tx/sec,sum of all servers
AVG_LATENCY,114.002 ms,across all batches all servers
P50_LATENCY,114.8 ms,
P95_LATENCY,129.8 ms,
P99_LATENCY,134.6 ms,
TOTAL_SLOW_COMMITS,310806,91.1%
TOTAL_CONFLICT_COMMITS,30194,
