metric,value,notes
NUM_CLIENT_DIRS,3,client* folders under eval
NUM_CLIENTS_MERGED,3,clients with CSV data
TOTAL_THROUGHPUT,165182.2 Tx/sec,sum of all clients
AVG_LATENCY,13.385 ms,across all batches all clients
P50_LATENCY,13.3 ms,
P95_LATENCY,17.4 ms,
P99_LATENCY,19.5 ms,
TOTAL_SLOW_COMMITS,4961000,90.6%
TOTAL_CONFLICT_COMMITS,516000,
