metric,value,notes
NUM_CLIENT_DIRS,1,server* folders under eval
NUM_CLIENTS_MERGED,1,servers with CSV data
TOTAL_THROUGHPUT,629.8 Tx/sec,sum of all servers
AVG_LATENCY,1.493 ms,across all batches all servers
P50_LATENCY,1.5 ms,
P95_LATENCY,2.0 ms,
P99_LATENCY,2.2 ms,
TOTAL_SLOW_COMMITS,22245,91.1%
TOTAL_CONFLICT_COMMITS,2165,
