system,size,experiment,filename,throughput,avg_latency,p50,p95,p99,conflict
cabinet,5,n5_cab_mongo_workload_a,merged_cabinet_clients_20260722_202705.csv,773.5,6.315,6.3,8.4,9.2,2347.0
cabinet,5,n5_cab_mongo_workload_b,merged_cabinet_clients_20260722_203520.csv,747.5,6.542,6.5,8.5,9.5,2392.0
cabinet,5,n5_cab_mongo_workload_c,merged_cabinet_clients_20260722_204338.csv,823.2,5.93,6.0,8.2,9.1,2732.0
cabinet,5,n5_cab_mongo_workload_d,merged_cabinet_clients_20260722_205222.csv,7.5,521.463,4.1,4.9,25004.1,39.0
cabinet,5,n5_cab_mongo_workload_e,merged_cabinet_clients_20260722_210104.csv,6.2,634.381,4.9,6.4,25023.1,26.0
cabinet,5,n5_cab_mongo_workload_f,merged_cabinet_clients_20260722_210922.csv,749.5,6.519,6.6,8.5,9.4,2365.0
