system,size,experiment,filename,throughput,avg_latency,p50,p95,p99,conflict
cabinet,5,n5_cab_mongo_workload_a,merged_cabinet_servers_20260722_202705.csv,697.2,1.343,1.3,1.9,2.2,2347.0
cabinet,5,n5_cab_mongo_workload_b,merged_cabinet_servers_20260722_203520.csv,673.3,1.391,1.3,1.9,2.2,2392.0
cabinet,5,n5_cab_mongo_workload_c,merged_cabinet_servers_20260722_204338.csv,742.4,1.258,1.2,1.8,2.1,2732.0
cabinet,5,n5_cab_mongo_workload_d,merged_cabinet_servers_20260722_205222.csv,7.4,131.998,1.6,2.0,5001.2,39.0
cabinet,5,n5_cab_mongo_workload_e,merged_cabinet_servers_20260722_210104.csv,6.1,161.08,2.3,3.6,5004.9,26.0
cabinet,5,n5_cab_mongo_workload_f,merged_cabinet_servers_20260722_210922.csv,670.0,1.379,1.4,1.9,2.2,2365.0
