metric,value,notes
NUM_CLIENT_DIRS,2,client* folders under eval
NUM_CLIENTS_MERGED,2,clients with CSV data
TOTAL_THROUGHPUT,495.4 Tx/sec,sum of all clients
AVG_LATENCY,3.898 ms,across all batches all clients
P50_LATENCY,3.9 ms,
P95_LATENCY,4.8 ms,
P99_LATENCY,5.8 ms,
TOTAL_SLOW_COMMITS,14151,90.5%
TOTAL_CONFLICT_COMMITS,1492,
