metric,value,notes
NUM_CLIENT_DIRS,1,server* folders under eval
NUM_CLIENTS_MERGED,1,servers with CSV data
TOTAL_THROUGHPUT,480.2 Tx/sec,sum of all servers
AVG_LATENCY,1.441 ms,across all batches all servers
P50_LATENCY,1.5 ms,
P95_LATENCY,1.9 ms,
P99_LATENCY,2.1 ms,
TOTAL_SLOW_COMMITS,14151,90.5%
TOTAL_CONFLICT_COMMITS,1492,
