elapsed_ms,tps,lat_avg_ms,event
500,21200.000,3.651,
1000,19800.000,3.980,
1500,19639.279,4.092,
2000,19400.000,4.165,
2500,20040.080,4.100,
3000,16400.000,5.061,
3500,16000.000,5.263,
4000,16432.866,5.073,
4500,12800.000,6.766,
5000,13226.453,6.667,
5500,13000.000,6.662,stable
6000,14028.056,6.100,
6500,13200.000,6.621,
7000,12224.449,7.082,
7500,12625.251,6.952,
8000,13000.000,6.723,
8500,14228.457,6.014,
9000,13627.255,6.235,
9500,15230.461,5.671,
10000,14800.000,5.730,
10500,14228.457,6.113,
11000,14800.000,5.676,
11500,15200.000,5.605,
12000,14228.457,5.930,
12500,15430.862,5.532,
13000,15800.000,5.241,
13500,15030.060,5.693,
14000,15400.000,5.455,
14500,15000.000,5.733,
15000,15800.000,5.228,
15500,15600.000,5.397,
16000,14629.259,5.863,crash_follower2
16500,15600.000,5.436,
17000,14428.858,5.958,
17500,12600.000,6.857,
18000,13000.000,6.754,
18500,12625.251,6.841,
19000,13426.854,6.522,
19500,13200.000,6.515,post_crash
20000,13226.453,6.455,
20500,12600.000,6.952,
21000,13026.052,6.662,
21500,13827.655,6.275,
22000,14200.000,5.986,
22500,16600.000,4.988,
23000,13400.000,6.463,
23500,13026.052,6.554,
24000,13600.000,6.382,
24500,13226.453,6.409,
25000,13426.854,6.537,
25500,14000.000,6.057,
26000,12825.651,6.781,
26500,12400.000,6.903,
27000,12625.251,6.921,
27500,13000.000,6.662,
28000,14000.000,6.200,
28500,13426.854,6.403,
29000,13800.000,6.116,
29500,15600.000,5.385,
30000,14028.056,6.186,
30500,13600.000,6.294,
31000,13200.000,6.500,
31500,13226.453,6.576,
32000,13627.255,6.309,
32500,14400.000,5.986,
33000,14800.000,5.662,
33500,14000.000,6.000,
34000,15030.060,5.587,
34500,14600.000,5.890,
35000,14000.000,5.757,
35500,14228.457,6.197,
36000,14400.000,5.958,
36500,14028.056,6.000,
37000,14028.056,6.171,
37500,13800.000,6.130,
38000,13800.000,6.130,
38500,13426.854,6.358,
39000,14400.000,5.889,
39500,13026.052,6.554,
40000,13226.453,6.485,
40500,13000.000,6.646,
41000,13627.255,6.294,
41500,13400.000,6.403,
42000,13627.255,6.368,
42500,13627.255,6.279,
43000,13800.000,6.232,
43500,13400.000,6.358,
44000,13827.655,6.217,
44500,13800.000,6.159,
45000,12800.000,6.844,
45500,12424.850,6.935,
46000,12625.251,6.889,
46500,13200.000,6.561,
47000,14200.000,5.986,
47500,13426.854,6.507,
48000,12800.000,6.844,
48500,13226.453,6.545,
49000,12825.651,6.734,
49500,13827.655,6.290,
50000,12625.251,7.000,
50500,14200.000,6.042,
51000,13200.000,6.409,
51500,13827.655,6.435,
52000,13600.000,6.235,
52500,14028.056,6.086,
53000,14428.858,6.000,
53500,13600.000,6.353,
54000,13800.000,6.246,
54500,13627.255,6.294,
55000,13400.000,6.373,
55500,13026.052,6.708,
56000,14028.056,6.257,
56500,13200.000,6.530,
57000,13827.655,6.261,
57500,14400.000,5.944,
58000,14400.000,5.931,
58500,14000.000,6.086,
59000,13827.655,6.275,
59500,13800.000,6.145,
60000,14400.000,5.944,
60500,14428.858,5.833,
61000,13426.854,6.328,
61500,13226.453,6.621,
62000,14200.000,5.958,
62500,14000.000,6.200,
63000,14228.457,6.000,
63500,14829.659,5.878,
64000,14200.000,6.113,
64500,13827.655,6.188,
65000,14629.259,5.877,
65500,13000.000,6.569,
66000,13827.655,6.130,
66500,13400.000,6.433,
67000,13200.000,6.515,
67500,13426.854,6.567,
68000,13426.854,6.463,
68500,13400.000,6.463,
69000,12825.651,6.734,
69500,13000.000,6.646,
70000,13827.655,6.174,
70500,14028.056,6.186,
71000,13600.000,6.279,
71500,13627.255,6.382,
72000,13400.000,6.433,
72500,13827.655,6.217,
73000,13627.255,6.294,
73500,13627.255,6.368,
74000,13600.000,6.250,
74500,13827.655,6.217,
75000,14600.000,5.822,
75500,14829.659,5.743,
76000,15200.000,5.592,
76500,14028.056,6.100,
77000,14428.858,5.972,
77500,14228.457,5.915,
78000,14028.056,6.157,
78500,13627.255,6.324,
79000,14800.000,5.689,
79500,14028.056,6.100,
80000,13827.655,6.319,
80211,16113.744,4.265,
