metric,value,notes
NUM_CLIENT_DIRS,1,server* folders under eval
NUM_CLIENTS_MERGED,1,servers with CSV data
TOTAL_THROUGHPUT,195348.4 Tx/sec,sum of all servers
AVG_LATENCY,4.025 ms,across all batches all servers
P50_LATENCY,3.8 ms,
P95_LATENCY,6.7 ms,
P99_LATENCY,8.0 ms,
TOTAL_SLOW_COMMITS,6090000,90.6%
TOTAL_CONFLICT_COMMITS,635000,
