metric,value,notes
NUM_CLIENT_DIRS,1,server* folders under eval
NUM_CLIENTS_MERGED,1,servers with CSV data
TOTAL_THROUGHPUT,560.7 Tx/sec,sum of all servers
AVG_LATENCY,1.638 ms,across all batches all servers
P50_LATENCY,1.1 ms,
P95_LATENCY,11.1 ms,
P99_LATENCY,11.6 ms,
TOTAL_SLOW_COMMITS,34145,100.0%
TOTAL_CONFLICT_COMMITS,0,
