system,size,experiment,filename,throughput,avg_latency,p50,p95,p99,conflict
cabinet,3,ratio_0,merged_cabinet_clients_20260806_001934.csv,713.6,4.082,4.1,5.2,6.1,23326.0
cabinet,3,ratio_10,merged_cabinet_clients_20260806_001828.csv,714.2,4.087,4.1,5.3,6.2,21010.0
cabinet,3,ratio_100,merged_cabinet_clients_20260806_001153.csv,693.4,4.21,4.2,5.4,6.3,0.0
cabinet,3,ratio_20,merged_cabinet_clients_20260806_001723.csv,723.2,4.027,4.0,5.2,6.1,18941.0
cabinet,3,ratio_40,merged_cabinet_clients_20260806_001617.csv,701.5,4.153,4.1,5.2,6.0,13765.0
cabinet,3,ratio_60,merged_cabinet_clients_20260806_001511.csv,714.5,4.078,4.1,5.2,6.2,9278.0
cabinet,3,ratio_80,merged_cabinet_clients_20260806_001405.csv,739.7,3.938,4.0,5.2,6.0,4833.0
cabinet,3,ratio_90,merged_cabinet_clients_20260806_001259.csv,724.2,4.012,4.0,5.1,6.0,2327.0
cabinet,5,ratio_0,merged_cabinet_clients_20260806_002836.csv,781.9,3.701,3.7,4.9,5.6,25715.0
cabinet,5,ratio_10,merged_cabinet_clients_20260806_002729.csv,837.4,3.452,3.4,4.7,5.6,24828.0
cabinet,5,ratio_100,merged_cabinet_clients_20260806_002043.csv,827.5,3.506,3.5,5.0,6.0,0.0
cabinet,5,ratio_20,merged_cabinet_clients_20260806_002621.csv,743.2,3.913,3.8,5.1,6.1,19493.0
cabinet,5,ratio_40,merged_cabinet_clients_20260806_002513.csv,762.4,3.802,3.8,5.1,6.0,15013.0
cabinet,5,ratio_60,merged_cabinet_clients_20260806_002405.csv,806.0,3.593,3.5,5.0,5.9,10635.0
cabinet,5,ratio_80,merged_cabinet_clients_20260806_002258.csv,773.5,3.756,3.8,5.1,6.0,5090.0
cabinet,5,ratio_90,merged_cabinet_clients_20260806_002150.csv,777.7,3.734,3.8,5.1,5.9,2582.0
cabinet,7,ratio_0,merged_cabinet_clients_20260806_003756.csv,871.7,3.33,3.2,4.7,5.6,28613.0
cabinet,7,ratio_10,merged_cabinet_clients_20260806_003647.csv,909.4,3.172,3.1,4.5,5.3,26988.0
cabinet,7,ratio_100,merged_cabinet_clients_20260806_002947.csv,907.6,3.178,3.1,4.5,5.3,0.0
cabinet,7,ratio_20,merged_cabinet_clients_20260806_003537.csv,848.0,3.397,3.4,4.8,5.7,22422.0
cabinet,7,ratio_40,merged_cabinet_clients_20260806_003427.csv,879.1,3.292,3.2,4.7,5.5,17527.0
cabinet,7,ratio_60,merged_cabinet_clients_20260806_003317.csv,808.2,3.586,3.5,4.8,5.7,10576.0
cabinet,7,ratio_80,merged_cabinet_clients_20260806_003207.csv,904.4,3.192,3.2,4.5,5.3,6030.0
cabinet,7,ratio_90,merged_cabinet_clients_20260806_003057.csv,872.1,3.32,3.3,4.7,5.5,2795.0
cabinet,11,ratio_0,merged_cabinet_clients_20260806_004742.csv,1029.1,2.797,2.7,4.1,5.1,33851.0
cabinet,11,ratio_10,merged_cabinet_clients_20260806_004629.csv,980.4,2.926,2.9,4.2,5.2,29030.0
cabinet,11,ratio_100,merged_cabinet_clients_20260806_003910.csv,1017.5,2.83,2.8,4.2,5.0,0.0
cabinet,11,ratio_20,merged_cabinet_clients_20260806_004517.csv,1028.0,2.792,2.8,4.1,4.9,27108.0
cabinet,11,ratio_40,merged_cabinet_clients_20260806_004403.csv,1035.2,2.782,2.7,4.1,5.0,20627.0
cabinet,11,ratio_60,merged_cabinet_clients_20260806_004250.csv,1052.6,2.735,2.7,4.1,5.0,13879.0
cabinet,11,ratio_80,merged_cabinet_clients_20260806_004137.csv,1013.3,2.843,2.8,4.2,5.1,6778.0
cabinet,11,ratio_90,merged_cabinet_clients_20260806_004023.csv,984.2,2.923,2.9,4.3,5.1,3225.0
