metric,value,notes
NUM_CLIENT_DIRS,1,server* folders under eval
NUM_CLIENTS_MERGED,1,servers with CSV data
TOTAL_THROUGHPUT,7519.9 Tx/sec,sum of all servers
AVG_LATENCY,13.137 ms,across all batches all servers
P50_LATENCY,12.9 ms,
P95_LATENCY,17.4 ms,
P99_LATENCY,18.9 ms,
TOTAL_SLOW_COMMITS,264711,91.1%
TOTAL_CONFLICT_COMMITS,25789,
