elapsed_ms,tps,lat_avg_ms,event
500,17200.000,4.605,
1000,18800.000,4.181,
1500,17200.000,4.698,
2000,14829.659,5.635,
2500,15600.000,5.282,
3000,12825.651,6.734,
3500,12000.000,7.083,
4000,11823.647,7.576,
4500,9400.000,9.170,
5000,9218.437,9.674,
5500,9200.000,9.783,stable
6000,9619.238,9.229,
6500,9200.000,9.630,
7000,9400.000,9.362,
7500,9819.639,8.980,
8000,9819.639,9.041,
8500,9600.000,9.208,
9000,9819.639,9.163,
9500,9418.838,9.447,
10000,9600.000,9.229,
10500,9418.838,9.404,
11000,9200.000,9.652,
11500,9600.000,9.375,
12000,9819.639,9.122,
12500,9400.000,9.340,
13000,9200.000,9.630,
13500,9418.838,9.489,
14000,10020.040,8.860,
14500,10400.000,8.385,
15000,10200.000,8.706,
15500,10420.842,8.519,
16000,10020.040,8.980,
16500,10400.000,8.462,
17000,10600.000,8.377,crash_follower3
17500,10000.000,8.800,
18000,9600.000,9.292,
18500,9619.238,8.938,
19000,9619.238,9.250,
19500,10020.040,9.020,
20000,9400.000,9.532,
20500,10220.441,8.549,post_crash
21000,10420.842,8.500,
21500,10200.000,8.529,
22000,9400.000,9.277,
22500,10220.441,8.804,
23000,10020.040,9.100,
23500,9819.639,9.000,
24000,10420.842,8.538,
24500,9400.000,9.362,
25000,10220.441,8.627,
25500,9600.000,9.125,
26000,9619.238,9.417,
26500,9400.000,9.511,
27000,10220.441,8.745,
27500,10000.000,8.960,
28000,9600.000,9.021,
28500,10000.000,8.880,
29000,10200.000,8.549,
29500,9819.639,9.102,
30000,10020.040,8.820,
30500,9819.639,9.082,
31000,10000.000,8.800,
31500,10200.000,8.588,
32000,10220.441,8.569,
32500,10000.000,8.860,
33000,9400.000,9.404,
33500,10020.040,8.820,
34000,10600.000,8.264,
34500,10200.000,8.529,
35000,10220.441,8.804,
35500,9600.000,9.062,
36000,9600.000,9.208,
36500,10600.000,8.283,
37000,10200.000,8.529,
37500,9819.639,9.082,
38000,9418.838,9.383,
38500,10621.242,8.396,
39000,10000.000,8.820,
39500,10020.040,8.740,
40000,9800.000,8.959,
40500,10020.040,8.760,
41000,10000.000,8.780,
41500,10621.242,8.302,
42000,10600.000,8.396,
42500,10420.842,8.423,
43000,10800.000,8.056,
43500,10400.000,8.346,
44000,10220.441,8.569,
44500,10020.040,8.740,
45000,10000.000,8.920,
45500,10420.842,8.615,
46000,10200.000,8.471,
46500,11022.044,7.964,
47000,10000.000,8.780,
47500,10420.842,8.423,
48000,10000.000,8.900,
48500,10420.842,8.519,
49000,10000.000,8.720,
49500,10020.040,8.980,
50000,10000.000,8.800,
50500,10420.842,8.538,
51000,9800.000,8.939,
51500,10220.441,8.529,
52000,10400.000,8.442,
52500,10020.040,8.920,
53000,10000.000,8.680,
53500,10621.242,8.321,
54000,10020.040,8.900,
54500,10600.000,8.226,
55000,10600.000,8.321,
55500,9619.238,9.188,
56000,10420.842,8.519,
56500,10000.000,8.640,
57000,10000.000,8.880,
57500,10821.643,8.074,
58000,9400.000,9.383,
58500,9819.639,9.122,
59000,9819.639,9.041,
59500,10200.000,8.706,
60000,10020.040,8.860,
60500,10020.040,8.800,
61000,58316.633,8.732,
63500,440.000,9.182,
64000,10220.441,8.627,
64500,10000.000,8.920,
65000,9819.639,8.796,
65500,9800.000,9.163,
66000,9800.000,8.939,
66500,10821.643,8.204,
67000,10600.000,8.264,
67500,10821.643,8.093,
68000,10200.000,8.490,
68500,10020.040,8.820,
69000,9819.639,8.714,
69500,10200.000,8.706,
70000,10420.842,8.577,
70500,10400.000,8.462,
71000,10200.000,8.451,
71500,10200.000,8.765,
72000,10220.441,8.608,
72500,10800.000,8.222,
73000,10020.040,8.820,
73500,10200.000,8.706,
74000,10420.842,8.442,
74500,10000.000,8.720,
75000,10600.000,8.151,
75500,10420.842,8.615,
76000,9800.000,8.980,
76500,10600.000,8.340,
77000,10020.040,8.860,
77500,10400.000,8.346,
78000,10621.242,8.358,
78500,10400.000,8.385,
79000,10200.000,8.804,
79500,9819.639,8.898,
80000,10400.000,8.481,
80500,10200.000,8.549,
81000,10621.242,8.321,
81500,15800.000,5.139,
81710,19047.619,3.550,
