metric,value,notes
NUM_CLIENT_DIRS,2,client* folders under eval
NUM_CLIENTS_MERGED,2,clients with CSV data
TOTAL_THROUGHPUT,423.5 Tx/sec,sum of all clients
AVG_LATENCY,4.594 ms,across all batches all clients
P50_LATENCY,4.5 ms,
P95_LATENCY,5.4 ms,
P99_LATENCY,6.4 ms,
TOTAL_SLOW_COMMITS,12165,91.4%
TOTAL_CONFLICT_COMMITS,1150,
