metric,value,notes
NUM_CLIENT_DIRS,3,client* folders under eval
NUM_CLIENTS_MERGED,3,clients with CSV data
TOTAL_THROUGHPUT,444.9 Tx/sec,sum of all clients
AVG_LATENCY,6.553 ms,across all batches all clients
P50_LATENCY,6.5 ms,
P95_LATENCY,8.6 ms,
P99_LATENCY,10.2 ms,
TOTAL_SLOW_COMMITS,5840,39.6%
TOTAL_CONFLICT_COMMITS,8898,
