metric,value,notes
NUM_CLIENT_DIRS,1,server* folders under eval
NUM_CLIENTS_MERGED,1,servers with CSV data
TOTAL_THROUGHPUT,8.7 Tx/sec,sum of all servers
AVG_LATENCY,112.468 ms,across all batches all servers
P50_LATENCY,1.9 ms,
P95_LATENCY,2.4 ms,
P99_LATENCY,5004.4 ms,
TOTAL_SLOW_COMMITS,321,90.7%
TOTAL_CONFLICT_COMMITS,33,
