elapsed_ms,tps,lat_avg_ms,event
500,14200.000,6.085,
1000,14000.000,6.186,
1500,15430.862,5.597,
2000,16800.000,4.857,stable
2500,16633.267,5.289,
3000,16833.667,5.119,
3500,16600.000,5.072,
4000,15430.862,5.558,
4500,16000.000,5.312,
5000,15631.263,5.526,
5500,17600.000,4.807,
6000,15831.663,5.494,
6500,15400.000,5.597,
7000,15600.000,5.577,
7500,15430.862,5.636,
8000,16432.866,5.159,
8500,17034.068,4.976,
9000,16200.000,5.272,
9500,16432.866,5.220,
10000,10200.000,5.098,
10500,200.401,949.000,
11000,7214.429,5.861,
11500,17000.000,4.965,
12000,17434.870,4.828,
12500,16400.000,5.244,crash_follower3
13000,15600.000,5.449,
13500,16032.064,5.188,
14000,15400.000,5.519,
14500,15030.060,5.747,
15000,15631.263,5.500,
15500,16200.000,5.235,
16000,16432.866,5.244,
16500,16600.000,5.181,
17000,15230.461,5.684,post_crash
17500,17234.469,4.884,
18000,16633.267,5.024,
18500,15600.000,5.487,
19000,15831.663,5.380,
19500,16432.866,5.061,
20000,16232.465,5.346,
20500,16833.667,5.024,
21000,16600.000,5.108,
21500,18637.275,4.387,
22000,15430.862,5.623,
22500,14428.858,5.931,
23000,15200.000,5.632,
23500,14629.259,5.918,
24000,14600.000,5.932,
24500,17000.000,4.988,
25000,18236.473,4.582,
25500,15200.000,5.697,
26000,15230.461,5.632,
26500,16600.000,5.108,
27000,16432.866,5.232,
27500,17234.469,4.988,
28000,18000.000,4.822,
28500,18837.675,4.447,
29000,15800.000,5.494,
29500,16633.267,5.108,
30000,18637.275,4.473,
30500,17835.671,4.697,
31000,15430.862,5.636,
31500,15400.000,5.597,
32000,16833.667,5.119,
32500,15600.000,5.526,
33000,16633.267,5.253,
33500,16600.000,5.169,
34000,15400.000,5.623,
34500,16633.267,5.169,
35000,15200.000,5.750,
35500,16200.000,5.309,
36000,15230.461,5.632,
36500,15800.000,5.481,
37000,15200.000,5.684,
37500,15430.862,5.597,
38000,15631.263,5.500,
38500,16000.000,5.425,
39000,15400.000,5.545,
39500,15200.000,5.645,
40000,13627.255,6.544,
40500,13200.000,6.682,
41000,13827.655,6.333,
41500,15430.862,5.753,
42000,16032.064,5.400,
42500,16200.000,5.370,
43000,15631.263,5.615,
43500,15831.663,5.494,
44000,14428.858,6.153,
44500,14000.000,6.386,
45000,14829.659,5.905,
45500,14228.457,6.225,
46000,15000.000,5.827,
46500,14428.858,6.139,
47000,14800.000,5.932,
47500,15230.461,5.671,
48000,15430.862,5.623,
48500,14428.858,6.167,
49000,14600.000,6.000,
49500,15200.000,5.697,
50000,15600.000,5.538,
50500,15230.461,5.737,
51000,15631.263,5.551,
51500,16032.064,5.350,
52000,14629.259,5.822,
52500,13400.000,6.582,
53000,15400.000,5.675,
53500,16400.000,5.195,
54000,17434.870,4.954,
54500,16600.000,5.120,
55000,16600.000,5.157,
55500,17835.671,4.843,
56000,15400.000,5.610,
56500,15600.000,5.564,
57000,16400.000,5.159,
57500,15430.862,5.519,
58000,16200.000,5.284,
58500,13026.052,6.769,
59000,15000.000,5.867,
59500,15230.461,5.750,
60000,16232.465,5.370,
60500,16200.000,5.370,
61000,17034.068,5.094,
61500,16000.000,5.362,
62000,18436.874,4.543,
62500,15230.461,5.776,
63000,17635.271,4.818,
63500,16200.000,5.309,
64000,15631.263,5.538,
64500,15400.000,5.649,
65000,13000.000,6.831,
65500,14200.000,6.197,
66000,16432.866,5.305,
66500,14200.000,6.282,
67000,13426.854,6.507,
67500,14400.000,6.139,
68000,15030.060,5.800,
68500,14600.000,6.000,
69000,14000.000,6.286,
69500,14028.056,6.271,
70000,3400.000,5.765,
70500,3406.814,51.353,
71000,14800.000,5.919,
71500,14200.000,6.338,
72000,16000.000,5.412,
72500,14600.000,5.959,
73000,14629.259,5.986,
73500,13400.000,6.567,
74000,14400.000,6.014,
74500,15230.461,5.711,
75000,16833.667,5.214,
75500,15800.000,5.443,
76000,14829.659,6.014,
76500,13827.655,6.304,
77000,15600.000,5.513,
77401,14713.217,5.627,
