elapsed_ms,tps,lat_avg_ms,event
500,20000.000,3.970,
1000,22645.291,3.425,
1500,21242.485,3.660,
2000,19400.000,4.031,
2500,19639.279,4.051,
3000,19238.477,4.229,
3500,18200.000,4.396,
4000,17635.271,4.602,
4500,16232.465,4.963,
5000,15600.000,5.346,
5500,13627.255,6.426,
6000,12625.251,6.873,
6500,13200.000,6.652,
7000,13226.453,6.652,stable
7500,15200.000,5.816,
8000,13226.453,6.424,
8500,12600.000,6.762,
9000,12625.251,6.794,
9500,12224.449,7.115,
10000,12800.000,6.703,
10500,13827.655,6.232,
11000,14428.858,5.931,
11500,13426.854,6.343,
12000,12800.000,6.844,
12500,13827.655,6.014,
13000,13026.052,6.585,
13500,13800.000,6.043,
14000,13800.000,6.174,
14500,14829.659,5.581,
15000,14600.000,5.726,
15500,14829.659,5.649,
16000,14629.259,5.685,
16500,14400.000,5.736,
17000,15000.000,5.640,crash_follower4
17500,14800.000,5.514,
18000,15230.461,5.461,
18500,13827.655,6.275,
19000,15000.000,5.613,
19500,14228.457,5.930,
20000,14000.000,5.871,
20500,15430.862,5.532,post_crash
21000,14428.858,5.903,
21500,13600.000,6.426,
22000,13800.000,6.130,
22500,14028.056,6.157,
23000,14400.000,5.972,
23500,13400.000,6.284,
24000,13800.000,6.087,
24500,15230.461,5.645,
25000,13000.000,6.462,
25500,13627.255,6.338,
26000,14629.259,5.685,
26500,13600.000,6.412,
27000,13226.453,6.394,
27500,14829.659,5.635,
28000,15400.000,5.468,
28500,15230.461,5.618,
29000,14400.000,5.847,
29500,16000.000,5.300,
30000,13827.655,6.087,
30500,15430.862,5.506,
31000,15000.000,5.640,
31500,13827.655,6.087,
32000,15400.000,5.273,
32500,16000.000,5.200,
33000,15230.461,5.513,
33500,14600.000,5.767,
34000,15030.060,5.493,
34500,16633.267,4.892,
35000,14800.000,5.595,
35500,15230.461,5.461,
36000,13800.000,6.217,
36500,14629.259,5.753,
37000,14629.259,5.781,
37500,14400.000,5.806,
38000,14200.000,5.944,
38500,14629.259,5.863,
39000,14829.659,5.541,
39500,14600.000,5.630,
40000,15200.000,5.513,
40500,15631.263,5.269,
41000,14800.000,5.595,
41500,14028.056,5.857,
42000,13426.854,6.254,
42500,15000.000,5.573,
43000,14400.000,5.806,
43500,14629.259,5.603,
44000,15200.000,5.421,
44500,14829.659,5.581,
45000,15000.000,5.507,
45500,14800.000,5.689,
46000,13827.655,6.101,
46500,12800.000,6.625,
47000,16032.064,5.425,
47500,14400.000,5.875,
48000,15600.000,5.321,
48500,15400.000,5.442,
49000,14228.457,5.930,
49500,14028.056,5.957,
50000,14829.659,5.662,
50500,13827.655,6.043,
51000,13400.000,6.433,
51500,15200.000,5.711,
52000,15400.000,5.429,
52500,14829.659,5.676,
53000,15200.000,5.421,
53500,16633.267,5.036,
54000,15400.000,5.455,
54500,16032.064,5.250,
55000,18436.874,4.478,
55500,17400.000,4.632,
56000,14829.659,5.568,
56500,14428.858,5.861,
57000,14800.000,5.595,
57500,14200.000,5.915,
58000,14000.000,6.043,
58500,14228.457,5.817,
59000,14428.858,5.792,
59500,15400.000,5.442,
60000,14629.259,5.699,
60500,15400.000,5.455,
61000,15230.461,5.513,
61500,16400.000,5.049,
62000,17000.000,4.835,
62500,15831.663,5.228,
63000,15400.000,5.416,
63500,15831.663,5.165,
64000,14600.000,5.822,
64500,15430.862,5.377,
65000,8400.000,5.595,
65500,200.401,779.000,
66000,13200.000,5.515,
66500,15230.461,5.526,
67000,15000.000,5.560,
67500,16032.064,5.062,
68000,14228.457,5.972,
68500,15200.000,5.671,
69000,14000.000,6.000,
69500,13627.255,6.221,
70000,13600.000,6.176,
70500,13627.255,6.426,
71000,13200.000,6.636,
71500,13000.000,6.662,
72000,14428.858,5.861,
72500,15400.000,5.481,
73000,14400.000,6.028,
73500,15230.461,5.697,
74000,15230.461,5.684,
74500,15800.000,5.418,
75000,16032.064,5.287,
75500,15800.000,5.291,
76000,15600.000,5.500,
76500,16000.000,5.350,
77000,13827.655,6.101,
77500,14000.000,6.086,
78000,15600.000,5.436,
78500,16200.000,5.037,
79000,15600.000,5.308,
79500,15800.000,5.152,
80000,13627.255,6.338,
80500,14800.000,5.622,
81000,14228.457,5.958,
81195,11794.872,6.304,
