elapsed_ms,tps,lat_avg_ms,event
500,17400.000,4.586,
1000,17234.469,4.709,
1500,17635.271,4.636,
2000,14800.000,5.608,
2500,15000.000,5.520,
3000,14829.659,5.500,
3500,12024.048,7.183,
4000,12400.000,6.806,
4500,12000.000,7.233,
5000,11400.000,7.737,
5500,9218.437,9.783,
6000,9619.238,9.292,
6500,10000.000,8.740,
7000,10220.441,8.725,
7500,8817.635,10.068,stable
8000,9819.639,9.082,
8500,9400.000,9.383,
9000,9200.000,9.630,
9500,10000.000,8.740,
10000,10020.040,8.780,
10500,9200.000,9.630,
11000,9819.639,8.980,
11500,10020.040,8.720,
12000,10420.842,8.462,
12500,10800.000,8.185,
13000,10020.040,8.680,
13500,10600.000,8.377,
14000,10220.441,8.647,
14500,10400.000,8.308,
15000,10621.242,8.396,
15500,10000.000,8.740,
16000,10821.643,8.315,
16500,10800.000,7.944,
17000,11000.000,7.800,
17500,11222.445,7.661,crash_follower4
18000,11422.846,7.702,
18500,11200.000,7.732,
19000,10621.242,8.245,
19500,10621.242,8.415,
20000,10800.000,8.019,
20500,10800.000,8.148,
21000,10400.000,8.442,post_crash
21500,10420.842,8.404,
22000,10621.242,8.321,
22500,9619.238,9.375,
23000,10000.000,8.780,
23500,10220.441,8.686,
24000,10420.842,8.538,
24500,10000.000,8.740,
25000,10420.842,8.635,
25500,9800.000,8.939,
26000,10020.040,8.660,
26500,10200.000,8.725,
27000,10020.040,8.800,
27500,9800.000,8.837,
28000,10000.000,8.900,
28500,9819.639,9.061,
29000,10400.000,8.423,
29500,10220.441,8.706,
30000,9819.639,8.898,
30500,10220.441,8.667,
31000,10200.000,8.647,
31500,10621.242,8.208,
32000,11222.445,7.911,
32500,10000.000,8.780,
33000,10220.441,8.549,
33500,10000.000,8.680,
34000,10420.842,8.673,
34500,10200.000,8.510,
35000,10020.040,8.720,
35500,10000.000,8.680,
36000,9619.238,9.104,
36500,10420.842,8.462,
37000,10400.000,8.442,
37500,10020.040,8.960,
38000,9400.000,9.234,
38500,10220.441,8.765,
39000,10800.000,8.185,
39500,10600.000,8.302,
40000,10821.643,8.111,
40500,10800.000,7.889,
41000,10821.643,8.278,
41500,10400.000,8.308,
42000,10800.000,8.259,
42500,10621.242,8.208,
43000,11022.044,8.000,
43500,11000.000,7.782,
44000,11022.044,8.055,
44500,10420.842,8.385,
45000,11200.000,7.607,
45500,10400.000,8.423,
46000,11222.445,7.804,
46500,12825.651,6.562,
47000,8800.000,10.182,
47500,7800.000,11.513,
48000,9218.437,9.652,
48500,9000.000,9.911,
49000,11222.445,7.857,
49500,11200.000,7.714,
50000,11200.000,7.661,
50500,10821.643,8.037,
51000,10420.842,8.481,
51500,10420.842,8.538,
52000,10621.242,8.226,
52500,10800.000,8.056,
53000,11222.445,7.804,
53500,11422.846,7.579,
54000,12000.000,7.250,
54500,11422.846,7.684,
55000,11222.445,7.714,
55500,10400.000,8.423,
56000,11022.044,7.927,
56500,11800.000,7.339,
57000,11823.647,7.271,
57500,11623.246,7.397,
58000,12024.048,7.233,
58500,11200.000,7.857,
59000,10800.000,7.926,
59500,11623.246,7.552,
60000,11200.000,7.714,
60500,11200.000,7.714,
61000,11623.246,7.569,
61500,10600.000,8.113,
62000,11200.000,7.893,
62500,11422.846,7.561,
63000,11400.000,7.596,
63500,11022.044,7.818,
64000,10621.242,8.377,
64500,10400.000,8.538,
65000,10800.000,7.944,
65500,11022.044,8.036,
66000,11222.445,7.714,
66500,11000.000,7.873,
67000,10821.643,8.167,
67500,10420.842,8.269,
68000,10600.000,8.226,
68500,11422.846,7.684,
69000,11422.846,7.860,
69500,11000.000,7.855,
70000,10600.000,8.264,
70500,11222.445,7.768,
71000,11800.000,7.390,
71500,11400.000,7.649,
72000,11000.000,7.873,
72500,10420.842,8.212,
73000,10420.842,8.519,
73500,11000.000,8.000,
74000,11022.044,7.818,
74500,10600.000,8.132,
75000,11000.000,8.000,
75500,11623.246,7.448,
76000,11600.000,7.328,
76500,11422.846,7.456,
77000,11800.000,7.373,
77500,11422.846,7.526,
78000,11022.044,7.945,
78500,11000.000,7.818,
79000,11022.044,7.982,
79500,10800.000,8.074,
80000,11623.246,7.414,
80500,11222.445,7.643,
81000,11200.000,7.857,
81500,10821.643,8.130,
81977,14884.696,5.352,
