metric,value,notes
NUM_CLIENT_DIRS,1,server* folders under eval
NUM_CLIENTS_MERGED,1,servers with CSV data
TOTAL_THROUGHPUT,72468.6 Tx/sec,sum of all servers
AVG_LATENCY,1.317 ms,across all batches all servers
P50_LATENCY,1.3 ms,
P95_LATENCY,1.8 ms,
P99_LATENCY,2.3 ms,
TOTAL_SLOW_COMMITS,5421700,90.1%
TOTAL_CONFLICT_COMMITS,595100,
