metric,value,notes
NUM_CLIENT_DIRS,1,server* folders under eval
NUM_CLIENTS_MERGED,1,servers with CSV data
TOTAL_THROUGHPUT,203225.4 Tx/sec,sum of all servers
AVG_LATENCY,9.170 ms,across all batches all servers
P50_LATENCY,8.9 ms,
P95_LATENCY,11.8 ms,
P99_LATENCY,13.0 ms,
TOTAL_SLOW_COMMITS,6366000,90.0%
TOTAL_CONFLICT_COMMITS,704000,
