metric,value,notes
NUM_CLIENT_DIRS,3,client* folders under eval
NUM_CLIENTS_MERGED,3,clients with CSV data
TOTAL_THROUGHPUT,212671.3 Tx/sec,sum of all clients
AVG_LATENCY,19.278 ms,across all batches all clients
P50_LATENCY,18.6 ms,
P95_LATENCY,24.3 ms,
P99_LATENCY,27.1 ms,
TOTAL_SLOW_COMMITS,6366000,90.0%
TOTAL_CONFLICT_COMMITS,704000,
