metric,value,notes
NUM_CLIENT_DIRS,1,server* folders under eval
NUM_CLIENTS_MERGED,1,servers with CSV data
TOTAL_THROUGHPUT,7.4 Tx/sec,sum of all servers
AVG_LATENCY,131.998 ms,across all batches all servers
P50_LATENCY,1.6 ms,
P95_LATENCY,2.0 ms,
P99_LATENCY,5001.2 ms,
TOTAL_SLOW_COMMITS,409,91.3%
TOTAL_CONFLICT_COMMITS,39,
