elapsed_ms,tps,lat_avg_ms,event
500,13200.000,6.121,
1000,13800.000,6.000,
1500,13026.052,6.354,
2000,10800.000,7.907,
2500,11600.000,7.448,
3000,9819.639,8.878,
3500,9000.000,9.778,
4000,9000.000,9.911,
4500,9819.639,8.980,stable
5000,9819.639,9.061,
5500,9400.000,9.319,
6000,9000.000,9.800,
6500,9200.000,9.478,
7000,9418.838,9.511,
7500,9200.000,9.413,
8000,9018.036,9.911,
8500,9600.000,9.146,
9000,10020.040,8.780,
9500,9600.000,9.042,
10000,9418.838,9.383,
10500,9200.000,9.435,
11000,9819.639,8.959,
11500,9800.000,8.837,
12000,9819.639,8.898,
12500,9400.000,9.277,
13000,10020.040,9.040,
13500,10200.000,8.275,
14000,9819.639,8.980,
14500,9819.639,8.918,
15000,9600.000,9.125,crash_follower2
15500,9800.000,8.837,
16000,9800.000,9.143,
16500,9619.238,9.167,
17000,9619.238,9.167,
17500,9200.000,9.435,
18000,10020.040,8.660,
18500,10000.000,8.800,
19000,10020.040,8.860,
19500,9400.000,9.319,post_crash
20000,9619.238,9.167,
20500,10000.000,8.600,
21000,10420.842,8.462,
21500,10621.242,8.189,
22000,10400.000,8.250,
22500,10020.040,8.720,
23000,10400.000,8.442,
23500,10220.441,8.431,
24000,9819.639,9.020,
24500,9600.000,9.125,
25000,10220.441,8.608,
25500,9400.000,9.277,
26000,10020.040,8.700,
26500,10000.000,8.760,
27000,10420.842,8.269,
27500,10420.842,8.442,
28000,10621.242,8.302,
28500,9800.000,8.735,
29000,10420.842,8.462,
29500,10020.040,8.700,
30000,9819.639,9.000,
30500,9800.000,9.000,
31000,10020.040,8.740,
31500,10400.000,8.231,
32000,9819.639,9.102,
32500,9619.238,8.958,
33000,10200.000,8.627,
33500,10400.000,8.308,
34000,10621.242,8.302,
34500,9800.000,8.980,
35000,10220.441,8.471,
35500,10000.000,8.580,
36000,10220.441,8.608,
36500,10400.000,8.462,
37000,10200.000,8.510,
37500,10020.040,8.640,
38000,9800.000,8.816,
38500,10020.040,8.900,
39000,10400.000,8.250,
39500,10020.040,8.620,
40000,10800.000,8.130,
40500,10821.643,7.852,
41000,10821.643,8.037,
41500,10821.643,7.981,
42000,9800.000,8.980,
42500,10621.242,8.189,
43000,10800.000,7.926,
43500,10420.842,8.288,
44000,10600.000,8.245,
44500,10420.842,8.385,
45000,9819.639,8.898,
45500,10200.000,8.627,
46000,10020.040,8.640,
46500,9819.639,8.898,
47000,9600.000,9.146,
47500,10220.441,8.471,
48000,9819.639,9.000,
48500,10000.000,8.740,
49000,10000.000,8.620,
49500,10220.441,8.588,
50000,9418.838,9.340,
50500,9600.000,8.979,
51000,10020.040,8.700,
51500,9800.000,9.000,
52000,10000.000,8.820,
52500,9819.639,9.020,
53000,10000.000,8.560,
53500,10020.040,8.820,
54000,10400.000,8.462,
54500,10000.000,8.760,
55000,10220.441,8.529,
55500,10621.242,8.226,
56000,10000.000,8.500,
56500,10200.000,8.647,
57000,10020.040,8.760,
57500,10220.441,8.608,
58000,10200.000,8.549,
58500,10621.242,8.113,
59000,11800.000,7.237,
59500,10420.842,8.423,
60000,10200.000,8.490,
60500,11022.044,7.764,
61000,10420.842,8.327,
61500,11000.000,7.873,
62000,10400.000,8.327,
62500,10020.040,8.680,
63000,10600.000,8.057,
63500,10220.441,8.392,
64000,10821.643,8.148,
64500,10200.000,8.490,
65000,10821.643,7.944,
65500,10020.040,8.640,
66000,11000.000,7.836,
66500,10600.000,8.302,
67000,10020.040,8.580,
67500,10400.000,8.327,
68000,10200.000,8.686,
68500,10420.842,8.192,
69000,10200.000,8.549,
69500,10400.000,8.269,
70000,9619.238,9.021,
70500,10200.000,8.471,
71000,10220.441,8.529,
71500,10000.000,8.680,
72000,10621.242,8.170,
72500,10600.000,7.925,
73000,10000.000,8.780,
73500,10020.040,8.860,
74000,10020.040,8.680,
74500,10800.000,7.852,
75000,10220.441,8.549,
75500,10600.000,8.189,
76000,10000.000,8.700,
76500,10400.000,8.365,
77000,10420.842,8.462,
77500,9800.000,8.816,
78000,9619.238,9.062,
78500,10000.000,8.720,
79000,10420.842,8.385,
79500,10200.000,8.529,
80000,11022.044,7.764,
80018,0.000,0.000,
