metric,value,notes
NUM_CLIENT_DIRS,10,client* folders under eval
NUM_CLIENTS_MERGED,10,clients with CSV data
TOTAL_THROUGHPUT,1812.3 Tx/sec,sum of all clients
AVG_LATENCY,5.362 ms,across all batches all clients
P50_LATENCY,5.4 ms,
P95_LATENCY,7.5 ms,
P99_LATENCY,9.7 ms,
TOTAL_SLOW_COMMITS,0,0.0%
TOTAL_CONFLICT_COMMITS,0,
