system,size,experiment,filename,throughput,avg_latency,p50,p95,p99,conflict
cabinet,5,ratio_0,merged_cabinet_servers_20260831_031006.csv,824.4,1.064,1.1,1.6,1.8,53079.0
cabinet,5,ratio_10,merged_cabinet_servers_20260831_030828.csv,857.2,1.021,1.0,1.6,1.8,49606.0
cabinet,5,ratio_100,merged_cabinet_servers_20260831_025842.csv,812.7,1.078,1.1,1.6,1.9,0.0
cabinet,5,ratio_20,merged_cabinet_servers_20260831_030651.csv,956.6,0.902,0.9,1.5,1.7,49141.0
cabinet,5,ratio_40,merged_cabinet_servers_20260831_030513.csv,795.3,1.116,1.1,1.6,1.8,30552.0
cabinet,5,ratio_60,merged_cabinet_servers_20260831_030335.csv,932.1,0.933,0.9,1.5,1.8,23931.0
cabinet,5,ratio_80,merged_cabinet_servers_20260831_030158.csv,832.9,1.055,1.1,1.6,1.8,10651.0
cabinet,5,ratio_90,merged_cabinet_servers_20260831_030020.csv,851.0,1.036,1.0,1.6,1.8,5502.0
