metric,value,notes
NUM_CLIENT_DIRS,1,server* folders under eval
NUM_CLIENTS_MERGED,1,servers with CSV data
TOTAL_THROUGHPUT,413.8 Tx/sec,sum of all servers
AVG_LATENCY,2.338 ms,across all batches all servers
P50_LATENCY,2.2 ms,
P95_LATENCY,3.2 ms,
P99_LATENCY,5.5 ms,
TOTAL_SLOW_COMMITS,6138,40.0%
TOTAL_CONFLICT_COMMITS,9225,
